type,byte,FingerPrint,Corelation
application/rdf+xml,3,0.0,1.0
application/vnd.google-earth.kml+xml,3,0.0,1.0
application/rss+xml,3,0.0,1.0
application/epub+zip,3,0.0,1.0
application/x-elc,3,0.0,1.0
audio/mpeg,3,0.0,1.0
text/html,3,0.0,1.0
image/tiff,3,0.0,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,3,0.0,1.0
application/zip,3,0.0,1.0
image/vnd.microsoft.icon,3,0.0,1.0
video/quicktime,3,0.0,1.0
video/mp4,3,0.0,1.0
application/xml,4,0.0,1.0
application/fits,4,0.0,1.0
application/x-sh,4,0.0,1.0
application/x-msdownload,4,0.0,1.0
image/jpeg,4,0.0,1.0
application/atom+xml,4,0.0,1.0
image/gif,4,0.0,1.0
image/x-ms-bmp,4,0.0,1.0
image/svg+xml,4,0.0,1.0
text/x-php,4,0.0,1.0
application/xhtml+xml,4,0.0,1.0
application/postscript,4,0.0,1.0
application/x-tika-msoffice,4,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,4,0.0,1.0
video/x-flv,4,0.0,1.0
text/x-matlab,4,0.0,1.0
application/vnd.ms-excel,4,0.0,1.0
text/plain,4,0.0,1.0
image/png,4,0.0,1.0
application/pdf,4,0.0,1.0
application/msword,4,0.0,1.0
application/x-compress,4,0.0,1.0
application/x-tika-ooxml,4,0.0,1.0
application/rdf+xml,4,0.0,1.0
application/vnd.google-earth.kml+xml,4,0.0,1.0
application/rss+xml,4,0.0,1.0
application/epub+zip,4,0.0,1.0
application/x-elc,4,0.0,1.0
audio/mpeg,4,0.0,1.0
text/html,4,0.0,1.0
image/tiff,4,0.0,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,4,0.0,1.0
application/zip,4,0.0,1.0
image/vnd.microsoft.icon,4,0.0,1.0
video/quicktime,4,0.0,1.0
video/mp4,4,0.0,1.0
application/xml,5,0.0,1.0
application/fits,5,0.0,1.0
application/x-sh,5,0.0,1.0
application/x-msdownload,5,0.0,1.0
image/jpeg,5,0.0,1.0
application/atom+xml,5,0.0,1.0
image/gif,5,0.0,1.0
image/x-ms-bmp,5,0.0,1.0
image/svg+xml,5,0.0,1.0
text/x-php,5,0.0,1.0
application/xhtml+xml,5,0.0,1.0
application/postscript,5,0.0,1.0
application/x-tika-msoffice,5,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,5,0.0,1.0
video/x-flv,5,0.0,1.0
text/x-matlab,5,0.0,1.0
application/vnd.ms-excel,5,0.0,1.0
text/plain,5,0.0,1.0
image/png,5,0.0,1.0
application/pdf,5,0.0,1.0
application/msword,5,0.0,1.0
application/x-compress,5,0.0,1.0
application/x-tika-ooxml,5,0.0,1.0
application/rdf+xml,5,0.0,1.0
application/vnd.google-earth.kml+xml,5,0.0,1.0
application/rss+xml,5,0.0,1.0
application/epub+zip,5,0.0,1.0
application/x-elc,5,0.0,1.0
audio/mpeg,5,0.0,1.0
text/html,5,0.0,1.0
image/tiff,5,0.0,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,5,0.0,1.0
application/zip,5,0.0,1.0
image/vnd.microsoft.icon,5,0.0,1.0
video/quicktime,5,0.0,1.0
video/mp4,5,0.0,1.0
application/xml,6,0.0,1.0
application/fits,6,0.0,1.0
application/x-sh,6,0.0,1.0
application/x-msdownload,6,0.0,1.0
image/jpeg,6,0.0,1.0
application/atom+xml,6,0.0,1.0
image/gif,6,0.0,1.0
image/x-ms-bmp,6,0.0,1.0
image/svg+xml,6,0.0,1.0
text/x-php,6,0.0,1.0
application/xhtml+xml,6,0.0,1.0
application/postscript,6,0.0,1.0
application/x-tika-msoffice,6,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,6,0.0,1.0
video/x-flv,6,0.0,1.0
text/x-matlab,6,0.0,1.0
application/vnd.ms-excel,6,0.0,1.0
text/plain,6,0.0,1.0
image/png,6,0.0,1.0
application/pdf,6,0.0,1.0
application/msword,6,0.0,1.0
application/x-compress,6,0.0,1.0
application/x-tika-ooxml,6,0.0,1.0
application/rdf+xml,6,0.0,1.0
application/vnd.google-earth.kml+xml,6,0.0,1.0
application/rss+xml,6,0.0,1.0
application/epub+zip,6,0.0,1.0
application/x-elc,6,0.0,1.0
audio/mpeg,6,0.0,1.0
text/html,6,0.0,1.0
image/tiff,6,0.0,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,6,0.0,1.0
application/zip,6,0.0,1.0
image/vnd.microsoft.icon,6,0.0,1.0
video/quicktime,6,0.0,1.0
video/mp4,6,0.0,1.0
application/xml,7,0.0,1.0
application/fits,7,0.0,1.0
application/x-sh,7,0.0,1.0
application/x-msdownload,7,0.0,1.0
image/jpeg,7,0.0,1.0
application/atom+xml,7,0.0,1.0
image/gif,7,0.0,1.0
image/x-ms-bmp,7,0.0,1.0
image/svg+xml,7,0.0,1.0
text/x-php,7,0.0,1.0
application/xhtml+xml,7,0.0,1.0
application/postscript,7,0.0,1.0
application/x-tika-msoffice,7,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,7,0.0,1.0
video/x-flv,7,0.0,1.0
text/x-matlab,7,0.0,1.0
application/vnd.ms-excel,7,0.0,1.0
text/plain,7,0.0,1.0
image/png,7,0.0,1.0
application/pdf,7,0.0,1.0
application/msword,7,0.0,1.0
application/x-compress,7,0.0,1.0
application/x-tika-ooxml,7,0.0,1.0
application/rdf+xml,7,0.0,1.0
application/vnd.google-earth.kml+xml,7,0.0,1.0
application/rss+xml,7,0.0,1.0
application/epub+zip,7,0.0,1.0
application/x-elc,7,0.0,1.0
audio/mpeg,7,0.0,1.0
text/html,7,0.0,1.0
image/tiff,7,0.0,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,7,0.0,1.0
application/zip,7,0.0,1.0
image/vnd.microsoft.icon,7,0.0,1.0
video/quicktime,7,0.0,1.0
video/mp4,7,0.0,1.0
application/xml,8,0.0,1.0
application/fits,8,0.0,1.0
application/x-sh,8,0.0,1.0
application/x-msdownload,8,0.0,1.0
image/jpeg,8,0.0,1.0
application/atom+xml,8,0.0,1.0
image/gif,8,0.0,1.0
image/x-ms-bmp,8,0.0,1.0
image/svg+xml,8,0.0,1.0
text/x-php,8,0.0,1.0
application/xhtml+xml,8,0.0,1.0
application/postscript,8,0.0,1.0
application/x-tika-msoffice,8,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,8,0.0,1.0
video/x-flv,8,0.0,1.0
text/x-matlab,8,0.0,1.0
application/vnd.ms-excel,8,0.0,1.0
text/plain,8,0.0,1.0
image/png,8,0.0,1.0
application/pdf,8,0.0,1.0
application/msword,8,0.0,1.0
application/x-compress,8,0.0,1.0
application/x-tika-ooxml,8,0.0,1.0
application/rdf+xml,8,0.0,1.0
application/vnd.google-earth.kml+xml,8,0.0,1.0
application/rss+xml,8,0.0,1.0
application/epub+zip,8,0.0,1.0
application/x-elc,8,0.0,1.0
audio/mpeg,8,0.0,1.0
text/html,8,0.0,1.0
image/tiff,8,0.0,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,8,0.0,1.0
application/zip,8,0.0,1.0
image/vnd.microsoft.icon,8,0.0,1.0
video/quicktime,8,0.0,1.0
video/mp4,8,0.0,1.0
application/xml,9,0.0,1.0
application/fits,9,0.0,1.0
application/x-sh,9,0.0,1.0
application/x-msdownload,9,0.0,1.0
image/jpeg,9,0.0,1.0
application/atom+xml,9,0.0,1.0
image/gif,9,0.0,1.0
image/x-ms-bmp,9,0.0,1.0
image/svg+xml,9,0.0,1.0
text/x-php,9,0.0,1.0
application/xhtml+xml,9,0.0,1.0
application/postscript,9,0.0,1.0
application/x-tika-msoffice,9,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,9,0.0,1.0
video/x-flv,9,0.0,1.0
text/x-matlab,9,0.0,1.0
application/vnd.ms-excel,9,0.0,1.0
text/plain,9,0.0,1.0
image/png,9,0.0,1.0
application/pdf,9,0.0,1.0
application/msword,9,0.0,1.0
application/x-compress,9,0.0,1.0
application/x-tika-ooxml,9,0.0,1.0
application/rdf+xml,9,0.0,1.0
application/vnd.google-earth.kml+xml,9,0.0,1.0
application/rss+xml,9,0.0,1.0
application/epub+zip,9,0.0,1.0
application/x-elc,9,0.0,1.0
audio/mpeg,9,0.0,1.0
text/html,9,0.0,1.0
image/tiff,9,0.0,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,9,0.0,1.0
application/zip,9,0.0,1.0
image/vnd.microsoft.icon,9,0.0,1.0
video/quicktime,9,0.0,1.0
video/mp4,9,0.0,1.0
application/xml,10,0.0,1.0
application/fits,10,0.0,1.0
application/x-sh,10,0.0,1.0
application/x-msdownload,10,0.0,1.0
image/jpeg,10,0.0,1.0
application/atom+xml,10,0.0,1.0
image/gif,10,0.0,1.0
image/x-ms-bmp,10,0.0,1.0
image/svg+xml,10,0.0,1.0
text/x-php,10,0.0,1.0
application/xhtml+xml,10,0.0,1.0
application/postscript,10,0.0,1.0
application/x-tika-msoffice,10,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,10,0.0,1.0
video/x-flv,10,0.0,1.0
text/x-matlab,10,0.0,1.0
application/vnd.ms-excel,10,0.0,1.0
text/plain,10,0.0,1.0
image/png,10,0.0,1.0
application/pdf,10,0.0,1.0
application/msword,10,0.0,1.0
application/x-compress,10,0.0,1.0
application/x-tika-ooxml,10,0.0,1.0
application/rdf+xml,10,0.0,1.0
application/vnd.google-earth.kml+xml,10,0.0,1.0
application/rss+xml,10,0.0,1.0
application/epub+zip,10,0.0,1.0
application/x-elc,10,0.0,1.0
audio/mpeg,10,0.0,1.0
text/html,10,0.0,1.0
image/tiff,10,0.0,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,10,0.0,1.0
application/zip,10,0.0,1.0
image/vnd.microsoft.icon,10,0.0,1.0
video/quicktime,10,0.0,1.0
video/mp4,10,0.0,1.0
application/xml,11,0.005434782608695651,0.9998255701541741
application/fits,11,0.005434782608695652,1.0
application/x-sh,11,0.005434782608695652,1.0
application/x-msdownload,11,0.005434782608695652,1.0
image/jpeg,11,0.005434782608695698,0.9962535894183843
application/atom+xml,11,0.005434782608695653,0.9971880034616023
image/gif,11,0.005434782608695637,0.9977408425073708
image/x-ms-bmp,11,0.005434782608695652,1.0
image/svg+xml,11,0.005434782608695652,1.0
text/x-php,11,0.005434782608695652,1.0
application/xhtml+xml,11,0.005434782608695418,0.9985790192814201
application/postscript,11,0.00543478260869565,0.9979881390165913
application/x-tika-msoffice,11,0.005434782608695651,0.9975761763263661
application/vnd.openxmlformats-officedocument.wordprocessingml.document,11,0.005434782608695652,1.0
video/x-flv,11,0.005434782608695652,1.0
text/x-matlab,11,0.00543478260869565,0.99792942132371
application/vnd.ms-excel,11,0.005434782608695652,1.0
text/plain,11,0.005434782608695575,0.9982360667824897
image/png,11,0.0054347826086956165,0.9913752944644332
application/pdf,11,0.005434782608695682,0.9982534708435681
application/msword,11,0.005434782608695651,0.9987662041012448
application/x-compress,11,0.005434782608695652,1.0
application/x-tika-ooxml,11,0.005434782608695652,1.0
application/rdf+xml,11,0.005434782608695652,1.0
application/vnd.google-earth.kml+xml,11,0.005434782608695652,1.0
application/rss+xml,11,0.005434782608695661,0.9987546459722126
application/epub+zip,11,0.005434782608695652,1.0
application/x-elc,11,0.005434782608695652,1.0
audio/mpeg,11,0.005434782608695652,1.0
text/html,11,0.005434782608695405,0.9995243946369498
image/tiff,11,0.005434782608695652,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,11,0.005434782608695652,1.0
application/zip,11,0.005434782608695651,0.9975761763263661
image/vnd.microsoft.icon,11,0.00543478260869565,0.9980160964719724
video/quicktime,11,0.005434782608695656,0.9966483038048201
video/mp4,11,0.005434782608695652,1.0
application/xml,12,0.0,1.0
application/fits,12,0.0,1.0
application/x-sh,12,0.0,1.0
application/x-msdownload,12,0.0,1.0
image/jpeg,12,0.0,1.0
application/atom+xml,12,0.0,1.0
image/gif,12,0.0,1.0
image/x-ms-bmp,12,0.0,1.0
image/svg+xml,12,0.0,1.0
text/x-php,12,0.0,1.0
application/xhtml+xml,12,0.0,1.0
application/postscript,12,0.0,1.0
application/x-tika-msoffice,12,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,12,0.0,1.0
video/x-flv,12,0.0,1.0
text/x-matlab,12,0.0,1.0
application/vnd.ms-excel,12,0.0,1.0
text/plain,12,0.0,1.0
image/png,12,0.0,1.0
application/pdf,12,0.0,1.0
application/msword,12,0.0,1.0
application/x-compress,12,0.0,1.0
application/x-tika-ooxml,12,0.0,1.0
application/rdf+xml,12,0.0,1.0
application/vnd.google-earth.kml+xml,12,0.0,1.0
application/rss+xml,12,0.0,1.0
application/epub+zip,12,0.0,1.0
application/x-elc,12,0.0,1.0
audio/mpeg,12,0.0,1.0
text/html,12,0.0,1.0
image/tiff,12,0.0,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,12,0.0,1.0
application/zip,12,0.0,1.0
image/vnd.microsoft.icon,12,0.0,1.0
video/quicktime,12,0.0,1.0
video/mp4,12,0.0,1.0
application/xml,13,0.0,1.0
application/fits,13,0.0,1.0
application/x-sh,13,0.0,1.0
application/x-msdownload,13,0.0,1.0
image/jpeg,13,0.0,1.0
application/atom+xml,13,0.0,1.0
image/gif,13,0.0,1.0
image/x-ms-bmp,13,0.0,1.0
image/svg+xml,13,0.0,1.0
text/x-php,13,0.0,1.0
application/xhtml+xml,13,0.0,1.0
application/postscript,13,0.0,1.0
application/x-tika-msoffice,13,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,13,0.0,1.0
video/x-flv,13,0.0,1.0
text/x-matlab,13,0.0,1.0
application/vnd.ms-excel,13,0.0,1.0
text/plain,13,0.0,1.0
image/png,13,0.0,1.0
application/pdf,13,0.0,1.0
application/msword,13,0.0,1.0
application/x-compress,13,0.0,1.0
application/x-tika-ooxml,13,0.0,1.0
application/rdf+xml,13,0.0,1.0
application/vnd.google-earth.kml+xml,13,0.0,1.0
application/rss+xml,13,0.0,1.0
application/epub+zip,13,0.0,1.0
application/x-elc,13,0.0,1.0
audio/mpeg,13,0.0,1.0
text/html,13,0.0,1.0
image/tiff,13,0.0,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,13,0.0,1.0
application/zip,13,0.0,1.0
image/vnd.microsoft.icon,13,0.0,1.0
video/quicktime,13,0.0,1.0
video/mp4,13,0.0,1.0
application/xml,14,0.005434782608695651,0.9998255701541741
application/fits,14,0.005434782608695652,1.0
application/x-sh,14,0.005434782608695652,1.0
application/x-msdownload,14,0.005434782608695652,1.0
image/jpeg,14,0.005434782608695698,0.9962535894183843
application/atom+xml,14,0.005434782608695653,0.9971880034616023
image/gif,14,0.005434782608695637,0.9977408425073708
image/x-ms-bmp,14,0.005434782608695652,1.0
image/svg+xml,14,0.005434782608695652,1.0
text/x-php,14,0.005434782608695652,1.0
application/xhtml+xml,14,0.005434782608695418,0.9985790192814201
application/postscript,14,0.00543478260869565,0.9979881390165913
application/x-tika-msoffice,14,0.005434782608695651,0.9975761763263661
application/vnd.openxmlformats-officedocument.wordprocessingml.document,14,0.005434782608695652,1.0
video/x-flv,14,0.005434782608695652,1.0
text/x-matlab,14,0.00543478260869565,0.99792942132371
application/vnd.ms-excel,14,0.005434782608695652,1.0
text/plain,14,0.005434782608695575,0.9982360667824897
image/png,14,0.0054347826086956165,0.9913752944644332
application/pdf,14,0.005434782608695682,0.9982534708435681
application/msword,14,0.005434782608695651,0.9987662041012448
application/x-compress,14,0.005434782608695652,1.0
application/x-tika-ooxml,14,0.005434782608695652,1.0
application/rdf+xml,14,0.005434782608695652,1.0
application/vnd.google-earth.kml+xml,14,0.005434782608695652,1.0
application/rss+xml,14,0.005434782608695661,0.9987546459722126
application/epub+zip,14,0.005434782608695652,1.0
application/x-elc,14,0.005434782608695652,1.0
audio/mpeg,14,0.005434782608695652,1.0
text/html,14,0.005434782608695405,0.9995243946369498
image/tiff,14,0.005434782608695652,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,14,0.005434782608695652,1.0
application/zip,14,0.005434782608695651,0.9975761763263661
image/vnd.microsoft.icon,14,0.00543478260869565,0.9980160964719724
video/quicktime,14,0.005434782608695656,0.9966483038048201
video/mp4,14,0.005434782608695652,1.0
application/xml,15,0.0,1.0
application/fits,15,0.0,1.0
application/x-sh,15,0.0,1.0
application/x-msdownload,15,0.0,1.0
image/jpeg,15,0.0,1.0
application/atom+xml,15,0.0,1.0
image/gif,15,0.0,1.0
image/x-ms-bmp,15,0.0,1.0
image/svg+xml,15,0.0,1.0
text/x-php,15,0.0,1.0
application/xhtml+xml,15,0.0,1.0
application/postscript,15,0.0,1.0
application/x-tika-msoffice,15,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,15,0.0,1.0
video/x-flv,15,0.0,1.0
text/x-matlab,15,0.0,1.0
application/vnd.ms-excel,15,0.0,1.0
text/plain,15,0.0,1.0
image/png,15,0.0,1.0
application/pdf,15,0.0,1.0
application/msword,15,0.0,1.0
application/x-compress,15,0.0,1.0
application/x-tika-ooxml,15,0.0,1.0
application/rdf+xml,15,0.0,1.0
application/vnd.google-earth.kml+xml,15,0.0,1.0
application/rss+xml,15,0.0,1.0
application/epub+zip,15,0.0,1.0
application/x-elc,15,0.0,1.0
audio/mpeg,15,0.0,1.0
text/html,15,0.0,1.0
image/tiff,15,0.0,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,15,0.0,1.0
application/zip,15,0.0,1.0
image/vnd.microsoft.icon,15,0.0,1.0
video/quicktime,15,0.0,1.0
video/mp4,15,0.0,1.0
application/xml,16,0.0,1.0
application/fits,16,0.0,1.0
application/x-sh,16,0.0,1.0
application/x-msdownload,16,0.0,1.0
image/jpeg,16,0.0,1.0
application/atom+xml,16,0.0,1.0
image/gif,16,0.0,1.0
image/x-ms-bmp,16,0.0,1.0
image/svg+xml,16,0.0,1.0
text/x-php,16,0.0,1.0
application/xhtml+xml,16,0.0,1.0
application/postscript,16,0.0,1.0
application/x-tika-msoffice,16,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,16,0.0,1.0
video/x-flv,16,0.0,1.0
text/x-matlab,16,0.0,1.0
application/vnd.ms-excel,16,0.0,1.0
text/plain,16,0.0,1.0
image/png,16,0.0,1.0
application/pdf,16,0.0,1.0
application/msword,16,0.0,1.0
application/x-compress,16,0.0,1.0
application/x-tika-ooxml,16,0.0,1.0
application/rdf+xml,16,0.0,1.0
application/vnd.google-earth.kml+xml,16,0.0,1.0
application/rss+xml,16,0.0,1.0
application/epub+zip,16,0.0,1.0
application/x-elc,16,0.0,1.0
audio/mpeg,16,0.0,1.0
text/html,16,0.0,1.0
image/tiff,16,0.0,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,16,0.0,1.0
application/zip,16,0.0,1.0
image/vnd.microsoft.icon,16,0.0,1.0
video/quicktime,16,0.0,1.0
video/mp4,16,0.0,1.0
application/xml,17,0.0,1.0
application/fits,17,0.0,1.0
application/x-sh,17,0.0,1.0
application/x-msdownload,17,0.0,1.0
image/jpeg,17,0.0,1.0
application/atom+xml,17,0.0,1.0
image/gif,17,0.0,1.0
image/x-ms-bmp,17,0.0,1.0
image/svg+xml,17,0.0,1.0
text/x-php,17,0.0,1.0
application/xhtml+xml,17,0.0,1.0
application/postscript,17,0.0,1.0
application/x-tika-msoffice,17,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,17,0.0,1.0
video/x-flv,17,0.0,1.0
text/x-matlab,17,0.0,1.0
application/vnd.ms-excel,17,0.0,1.0
text/plain,17,0.0,1.0
image/png,17,0.0,1.0
application/pdf,17,0.0,1.0
application/msword,17,0.0,1.0
application/x-compress,17,0.0,1.0
application/x-tika-ooxml,17,0.0,1.0
application/rdf+xml,17,0.0,1.0
application/vnd.google-earth.kml+xml,17,0.0,1.0
application/rss+xml,17,0.0,1.0
application/epub+zip,17,0.0,1.0
application/x-elc,17,0.0,1.0
audio/mpeg,17,0.0,1.0
text/html,17,0.0,1.0
image/tiff,17,0.0,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,17,0.0,1.0
application/zip,17,0.0,1.0
image/vnd.microsoft.icon,17,0.0,1.0
video/quicktime,17,0.0,1.0
video/mp4,17,0.0,1.0
application/xml,18,0.0,1.0
application/fits,18,0.0,1.0
application/x-sh,18,0.0,1.0
application/x-msdownload,18,0.0,1.0
image/jpeg,18,0.0,1.0
application/atom+xml,18,0.0,1.0
image/gif,18,0.0,1.0
image/x-ms-bmp,18,0.0,1.0
image/svg+xml,18,0.0,1.0
text/x-php,18,0.0,1.0
application/xhtml+xml,18,0.0,1.0
application/postscript,18,0.0,1.0
application/x-tika-msoffice,18,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,18,0.0,1.0
video/x-flv,18,0.0,1.0
text/x-matlab,18,0.0,1.0
application/vnd.ms-excel,18,0.0,1.0
text/plain,18,0.0,1.0
image/png,18,0.0,1.0
application/pdf,18,0.0,1.0
application/msword,18,0.0,1.0
application/x-compress,18,0.0,1.0
application/x-tika-ooxml,18,0.0,1.0
application/rdf+xml,18,0.0,1.0
application/vnd.google-earth.kml+xml,18,0.0,1.0
application/rss+xml,18,0.0,1.0
application/epub+zip,18,0.0,1.0
application/x-elc,18,0.0,1.0
audio/mpeg,18,0.0,1.0
text/html,18,0.0,1.0
image/tiff,18,0.0,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,18,0.0,1.0
application/zip,18,0.0,1.0
image/vnd.microsoft.icon,18,0.0,1.0
video/quicktime,18,0.0,1.0
video/mp4,18,0.0,1.0
application/xml,19,0.0,1.0
application/fits,19,0.0,1.0
application/x-sh,19,0.0,1.0
application/x-msdownload,19,0.0,1.0
image/jpeg,19,0.0,1.0
application/atom+xml,19,0.0,1.0
image/gif,19,0.0,1.0
image/x-ms-bmp,19,0.0,1.0
image/svg+xml,19,0.0,1.0
text/x-php,19,0.0,1.0
application/xhtml+xml,19,0.0,1.0
application/postscript,19,0.0,1.0
application/x-tika-msoffice,19,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,19,0.0,1.0
video/x-flv,19,0.0,1.0
text/x-matlab,19,0.0,1.0
application/vnd.ms-excel,19,0.0,1.0
text/plain,19,0.0,1.0
image/png,19,0.0,1.0
application/pdf,19,0.0,1.0
application/msword,19,0.0,1.0
application/x-compress,19,0.0,1.0
application/x-tika-ooxml,19,0.0,1.0
application/rdf+xml,19,0.0,1.0
application/vnd.google-earth.kml+xml,19,0.0,1.0
application/rss+xml,19,0.0,1.0
application/epub+zip,19,0.0,1.0
application/x-elc,19,0.0,1.0
audio/mpeg,19,0.0,1.0
text/html,19,0.0,1.0
image/tiff,19,0.0,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,19,0.0,1.0
application/zip,19,0.0,1.0
image/vnd.microsoft.icon,19,0.0,1.0
video/quicktime,19,0.0,1.0
video/mp4,19,0.0,1.0
application/xml,20,0.0,1.0
application/fits,20,0.0,1.0
application/x-sh,20,0.0,1.0
application/x-msdownload,20,0.0,1.0
image/jpeg,20,0.0,1.0
application/atom+xml,20,0.0,1.0
image/gif,20,0.0,1.0
image/x-ms-bmp,20,0.0,1.0
image/svg+xml,20,0.0,1.0
text/x-php,20,0.0,1.0
application/xhtml+xml,20,0.0,1.0
application/postscript,20,0.0,1.0
application/x-tika-msoffice,20,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,20,0.0,1.0
video/x-flv,20,0.0,1.0
text/x-matlab,20,0.0,1.0
application/vnd.ms-excel,20,0.0,1.0
text/plain,20,0.0,1.0
image/png,20,0.0,1.0
application/pdf,20,0.0,1.0
application/msword,20,0.0,1.0
application/x-compress,20,0.0,1.0
application/x-tika-ooxml,20,0.0,1.0
application/rdf+xml,20,0.0,1.0
application/vnd.google-earth.kml+xml,20,0.0,1.0
